id,insignia,fecha_entrega,usuario_id
9,EX,2017-06-07,25834
8,AV,2017-06-07,25834
7,LS,2017-06-07,25834
6,LO,2015-12-12,9446
5,HL,2017-01-07,9446
4,HG,2016-11-26,9446
3,HA,2016-08-13,9446
2,HF,2016-03-19,9446
